year-month,year,month,passengers
01-1949,1949,01,112
02-1949,1949,02,118
03-1949,1949,03,132
04-1949,1949,04,129
05-1949,1949,05,121
06-1949,1949,06,135
07-1949,1949,07,148
08-1949,1949,08,148
09-1949,1949,09,136
10-1949,1949,10,119
11-1949,1949,11,104
12-1949,1949,12,118
01-1950,1950,01,115
02-1950,1950,02,126
03-1950,1950,03,141
04-1950,1950,04,135
05-1950,1950,05,125
06-1950,1950,06,149
07-1950,1950,07,170
08-1950,1950,08,170
09-1950,1950,09,158
10-1950,1950,10,133
11-1950,1950,11,114
12-1950,1950,12,140
01-1951,1951,01,145
02-1951,1951,02,150
03-1951,1951,03,178
04-1951,1951,04,163
05-1951,1951,05,172
06-1951,1951,06,178
07-1951,1951,07,199
08-1951,1951,08,199
09-1951,1951,09,184
10-1951,1951,10,162
11-1951,1951,11,146
12-1951,1951,12,166
01-1952,1952,01,171
02-1952,1952,02,180
03-1952,1952,03,193
04-1952,1952,04,181
05-1952,1952,05,183
06-1952,1952,06,218
07-1952,1952,07,230
08-1952,1952,08,242
09-1952,1952,09,209
10-1952,1952,10,191
11-1952,1952,11,172
12-1952,1952,12,194
01-1953,1953,01,196
02-1953,1953,02,196
03-1953,1953,03,236
04-1953,1953,04,235
05-1953,1953,05,229
06-1953,1953,06,243
07-1953,1953,07,264
08-1953,1953,08,272
09-1953,1953,09,237
10-1953,1953,10,211
11-1953,1953,11,180
12-1953,1953,12,201
01-1954,1954,01,204
02-1954,1954,02,188
03-1954,1954,03,235
04-1954,1954,04,227
05-1954,1954,05,234
06-1954,1954,06,264
07-1954,1954,07,302
08-1954,1954,08,293
09-1954,1954,09,259
10-1954,1954,10,229
11-1954,1954,11,203
12-1954,1954,12,229
01-1955,1955,01,242
02-1955,1955,02,233
03-1955,1955,03,267
04-1955,1955,04,269
05-1955,1955,05,270
06-1955,1955,06,315
07-1955,1955,07,364
08-1955,1955,08,347
09-1955,1955,09,312
10-1955,1955,10,274
11-1955,1955,11,237
12-1955,1955,12,278
01-1956,1956,01,284
02-1956,1956,02,277
03-1956,1956,03,317
04-1956,1956,04,313
05-1956,1956,05,318
06-1956,1956,06,374
07-1956,1956,07,413
08-1956,1956,08,405
09-1956,1956,09,355
10-1956,1956,10,306
11-1956,1956,11,271
12-1956,1956,12,306
01-1957,1957,01,315
02-1957,1957,02,301
03-1957,1957,03,356
04-1957,1957,04,348
05-1957,1957,05,355
06-1957,1957,06,422
07-1957,1957,07,465
08-1957,1957,08,467
09-1957,1957,09,404
10-1957,1957,10,347
11-1957,1957,11,305
12-1957,1957,12,336
01-1958,1958,01,340
02-1958,1958,02,318
03-1958,1958,03,362
04-1958,1958,04,348
05-1958,1958,05,363
06-1958,1958,06,435
07-1958,1958,07,491
08-1958,1958,08,505
09-1958,1958,09,404
10-1958,1958,10,359
11-1958,1958,11,310
12-1958,1958,12,337
01-1959,1959,01,360
02-1959,1959,02,342
03-1959,1959,03,406
04-1959,1959,04,396
05-1959,1959,05,420
06-1959,1959,06,472
07-1959,1959,07,548
08-1959,1959,08,559
09-1959,1959,09,463
10-1959,1959,10,407
11-1959,1959,11,362
12-1959,1959,12,405
01-1960,1960,01,417
02-1960,1960,02,391
03-1960,1960,03,419
04-1960,1960,04,461
05-1960,1960,05,472
06-1960,1960,06,535
07-1960,1960,07,622
08-1960,1960,08,606
09-1960,1960,09,508
10-1960,1960,10,461
11-1960,1960,11,390
12-1960,1960,12,432
